1514764800, 1, 16, 12, 12, 7, 14, 71, 154, 127, 141, 109, 86
1514851200, 83, 157, 184, 96, 78, 172, 462, 835, 746, 745, 610, 508
1514937600, 360, 286, 191, 101, 74, 202, 536, 919, 870, 1163, 903, 750
1515024000, 456, 369, 187, 100, 104, 209, 518, 867, 639, 581, 541, 307
1515110400, 328, 478, 346, 131, 120, 274, 742, 1290, 1073, 1189, 1047, 588
1515196800, 426, 354, 189, 135, 83, 161, 476, 515, 247, 159, 80, 54
1515283200, 32, 28, 24, 12, 17, 28, 85, 296, 247, 148, 131, 122
1515369600, 60, 208, 134, 86, 49, 133, 568, 943, 897, 959, 831, 904
1515456000, 623, 426, 280, 134, 90, 165, 683, 1331, 1168, 831, 573, 540
1515542400, 313, 304, 161, 100, 57, 120, 410, 852, 701, 579, 649, 642
1515628800, 387, 298, 163, 94, 60, 164, 736, 1040, 1115, 684, 493, 444
1515715200, 405, 431, 339, 174, 126, 272, 699, 911, 774, 925, 596, 401
1515801600, 283, 361, 313, 155, 88, 202, 422, 476, 149, 111, 311, 340
1515888000, 222, 215, 168, 84, 70, 82, 268, 549, 488, 294, 84, 99
1515974400, 57, 168, 123, 74, 53, 107, 283, 628, 536, 381, 271, 135
1516060800, 420, 374, 242, 147, 71, 174, 627, 975, 1004, 787, 602, 187
1516147200, 135, 149, 170, 65, 50, 151, 679, 1045, 1083, 1076, 684, 390
1516233600, 212, 137, 74, 39, 31, 41, 105, 185, 243, 238, 219, 271
1516320000, 182, 228, 219, 120, 64, 210, 583, 985, 806, 652, 524, 463
1516406400, 289, 314, 290, 167, 91, 216, 406, 390, 324, 340, 484, 438
1516492800, 391, 323, 211, 139, 78, 122, 226, 328, 653, 361, 294, 102
1516579200, 132, 349, 215, 86, 77, 230, 518, 843, 961, 916, 565, 499
1516665600, 502, 431, 260, 89, 92, 192, 657, 1227, 1091, 743, 660, 488
1516752000, 496, 355, 326, 150, 107, 304, 707, 1152, 847, 879, 603, 443
1516838400, 455, 490, 260, 142, 121, 267, 721, 1060, 986, 1045, 846, 791
1516924800, 638, 877, 474, 225, 174, 340, 757, 803, 725, 478, 384, 319
1517011200, 295, 204, 156, 90, 61, 116, 261, 457, 347, 165, 204, 224
1517097600, 304, 244, 165, 82, 29, 49, 192, 355, 383, 220, 214, 128
1517184000, 113, 383, 196, 102, 109, 192, 696, 1145, 996, 929, 502, 549
1517270400, 736, 615, 356, 169, 109, 277, 656, 1281, 990, 549, 505, 460
1517356800, 374, 291, 134, 65, 32, 62, 169, 270, 253, 161, 70, 44
1517443200, 61, 76, 148, 84, 58, 160, 575, 724, 739, 558, 652, 447
1517529600, 397, 447, 349, 186, 145, 347, 966, 1456, 1050, 1142, 745, 618
1517616000, 418, 329, 324, 163, 92, 210, 470, 533, 383, 356, 369, 271
1517702400, 230, 227, 107, 66, 45, 83, 303, 465, 347, 188, 228, 153
1517788800, 90, 241, 238, 131, 65, 137, 646, 1141, 1426, 1060, 1029, 769
1517875200, 454, 279, 211, 107, 68, 191, 666, 903, 826, 629, 842, 632
1517961600, 491, 337, 208, 114, 83, 219, 762, 1114, 925, 779, 528, 364
1518048000, 250, 396, 224, 129, 107, 227, 656, 1015, 761, 568, 533, 469
1518134400, 500, 412, 308, 159, 114, 263, 481, 694, 611, 601, 550, 691
1518220800, 406, 421, 401, 199, 139, 271, 715, 678, 464, 252, 262, 288
1518307200, 422, 377, 309, 154, 97, 175, 352, 519, 449, 214, 421, 390
1518393600, 267, 262, 201, 100, 53, 173, 731, 885, 831, 963, 591, 413
1518480000, 325, 335, 212, 96, 51, 155, 531, 877, 1221, 926, 696, 664
1518566400, 422, 329, 193, 104, 58, 157, 440, 1054, 1218, 1018, 1002, 715
1518652800, 441, 547, 381, 204, 133, 318, 1107, 1550, 1181, 738, 860, 752
1518739200, 546, 392, 335, 234, 152, 358, 1036, 1281, 1117, 1110, 1155, 592
1518825600, 330, 359, 255, 205, 120, 220, 559, 677, 369, 131, 474, 460
1518912000, 489, 450, 291, 166, 115, 205, 449, 635, 380, 116, 67, 52
1518998400, 109, 241, 177, 97, 62, 144, 394, 653, 507, 301, 121, 127
