1514764800, 68965495, 233.40, 57048689, 192.90, 46988223, 156.54, 57123959, 99.00, 2073520, 96.30, 64854347, 90.66, 4985602, 85.80, 74661305, 79.20, 52188782, 75.03, 54399408, 74.20
1514851200, 57048689, 688.80, 57123959, 538.80, 34756900, 457.17, 61986282, 435.00, 1811585, 419.76, 64888397, 398.79, 63591393, 344.20, 4985602, 343.80, 12443097, 332.40, 43661348, 331.80
1514937600, 33213475, 1548.04, 40118532, 1358.41, 77757865, 1132.56, 46565646, 934.20, 79437344, 774.18, 57048689, 712.20, 43678268, 705.30, 78124169, 700.50, 57048689, 693.00, 56606505, 687.39
1515024000, 33213475, 1561.84, 33213475, 1554.34, 33213475, 1551.54, 40118532, 1550.91, 33213475, 1549.44, 40118532, 1422.81, 40118532, 1412.31, 40118532, 1402.51, 40118532, 1393.41, 40118532, 1385.01
1515110400, 40118532, 2800.32, 2073520, 2368.09, 2073520, 2342.19, 40118532, 1712.61, 40118532, 1694.41, 40118532, 1676.91, 40118532, 1660.11, 40118532, 1644.01, 40118532, 1628.61, 40118532, 1613.91
1515196800, 40118532, 2930.32, 40118532, 2901.82, 40118532, 2880.12, 40118532, 2859.12, 40118532, 2838.82, 40118532, 2819.22, 2073520, 2805.79, 2073520, 2538.19, 2073520, 2508.09, 2073520, 2478.69
1515283200, 2073520, 2882.49, 2073520, 2868.09, 2073520, 2836.59, 60790181, 1129.50, 60790181, 1120.80, 12443097, 1096.93, 47109348, 1093.99, 61986282, 1085.70, 60790181, 1083.70, 12443097, 1083.40
1515369600, 40118532, 3039.12, 40118532, 3024.12, 2073520, 3005.59, 40118532, 2999.62, 40118532, 2975.82, 40118532, 2952.72, 2073520, 2914.69, 47123844, 2515.90, 47123844, 2481.10, 47123844, 2423.70
1515456000, 2073520, 3899.89, 2073520, 3446.59, 2073520, 3405.99, 2073520, 3366.09, 2073520, 3326.89, 2073520, 3288.39, 2073520, 3250.59, 40118532, 3238.72, 2073520, 3213.49, 47123844, 3210.60
1515542400, 2073520, 5012.97, 47123844, 4400.80, 47123844, 4271.10, 2073520, 4249.89, 2073520, 4203.69, 47123844, 4195.50, 2073520, 4158.19, 47123844, 4120.60, 2073520, 4113.39, 2073520, 4069.29
1515628800, 2073520, 5445.57, 51878992, 5281.80, 2073520, 5254.47, 2073520, 5204.77, 2073520, 5155.77, 2073520, 5107.47, 2073520, 5059.87, 47123844, 4974.60, 47123844, 4954.50, 47123844, 4873.30
1515715200, 51878992, 6858.60, 47123844, 6390.00, 47123844, 6369.00, 47123844, 6276.60, 47123844, 6184.90, 47123844, 6093.90, 47123844, 6003.60, 2073520, 5974.17, 47123844, 5914.00, 47123844, 5825.10
1515801600, 51878992, 8333.10, 47123844, 7768.20, 47123844, 7757.10, 47123844, 7654.90, 47123844, 7553.40, 47123844, 7452.60, 47123844, 7352.50, 51878992, 7303.80, 47123844, 7253.10, 51878992, 7245.70
1515888000, 47123844, 9208.20, 51878992, 9162.30, 47123844, 9160.50, 51878992, 9084.90, 47123844, 9049.20, 51878992, 9018.40, 51878992, 8952.60, 47123844, 8938.60, 51878992, 8887.50, 47123844, 8828.70
1515974400, 51878992, 10780.30, 47123844, 9901.20, 47123844, 9890.70, 47123844, 9775.20, 51878992, 9719.50, 47123844, 9660.40, 51878992, 9647.40, 51878992, 9576.00, 47123844, 9546.30, 51878992, 9505.30
1516060800, 51878992, 12958.50, 47123844, 11601.90, 47123844, 11591.70, 51878992, 11539.80, 47123844, 11466.40, 51878992, 11460.70, 51878992, 11382.30, 47123844, 11341.80, 51878992, 11304.60, 51878992, 11227.60
